input_folder,embedding,model,experiment,fold,metric,value,model_class,summary_path,source_file
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,rmse_average,0.04966,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,rmse_rank_average,0.4255,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,cosine_pca_average,0.7899,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,cosine_rank_pca_average,0.4181,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,cosine_logfc,0.1439,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,cosine_rank_logfc,0.4394,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,r2_score_scores,-0.05732,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,mmd_pca,1.459,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,0,mmd_rank_pca,0.4166,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,rmse_average,0.04638,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,rmse_rank_average,0.4104,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,cosine_pca_average,0.795,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,cosine_rank_pca_average,0.4013,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,cosine_logfc,0.165,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,cosine_rank_logfc,0.4266,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,r2_score_scores,-0.05547,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,mmd_pca,1.391,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
