input_folder,embedding,model,experiment,completed_folds,missing_folds,missing_count,cosine_logfc_mean,cosine_logfc_n,cosine_logfc_std,cosine_pca_average_mean,cosine_pca_average_n,cosine_pca_average_std,cosine_rank_logfc_mean,cosine_rank_logfc_n,cosine_rank_logfc_std,cosine_rank_pca_average_mean,cosine_rank_pca_average_n,cosine_rank_pca_average_std,mmd_pca_mean,mmd_pca_n,mmd_pca_std,mmd_rank_pca_mean,mmd_rank_pca_n,mmd_rank_pca_std,r2_score_scores_mean,r2_score_scores_n,r2_score_scores_std,rmse_average_mean,rmse_average_n,rmse_average_std,rmse_rank_average_mean,rmse_rank_average_n,rmse_rank_average_std,top_k_recall_scores_mean,top_k_recall_scores_n,top_k_recall_scores_std,source_file
results/sciplex3_cv/max100,lpm,linear,linear_l1000,"0,1,2,3",,0,0.0484125,4.0,0.0173065447639517,0.595575,4.0,0.0078325708848798,0.4723,4.0,0.0146043372553042,0.438825,4.0,0.02469188463173,3.1092500000000003,4.0,0.4133169687620707,0.4579999999999999,4.0,0.0196653671887068,-0.0518725,4.0,0.0012707576480194,0.140725,4.0,0.0106528165289748,0.48445,4.0,0.0067044761167446,3.9675e-05,4.0,7.935e-05,summary_tables/sciplex3_cv/sciplex3_cv_max100_lpm_summary.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,"0,1,2,3",,0,0.153675,4.0,0.0251358144221878,0.786975,4.0,0.0093257260664608,0.4328,4.0,0.0356583790994486,0.392075,4.0,0.046454592525031,1.4635,4.0,0.0593099204742905,0.401225,4.0,0.0367340328124569,-0.0568825,4.0,0.0025635050874405,0.0486075,4.0,0.0022819490937938,0.41475,4.0,0.0225285744481683,0.0,4.0,0.0,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,"0,1,2,3",,0,0.0046722499999999,4.0,0.0073385350206972,0.486625,4.0,0.0168673995229456,0.49605,4.0,0.0334867635541766,0.43155,4.0,0.0507924206944303,3.15475,4.0,0.1265553238706298,0.3994499999999999,4.0,0.0606420371249735,-0.0454074999999999,4.0,0.0001833712082089,0.167675,4.0,0.0021124630174277,0.4927499999999999,4.0,0.0148248664974314,0.0,4.0,0.0,summary_tables/sciplex3_cv/sciplex3_cv_max100_onehot_summary.csv
results/sciplex3_cv/max100,lpm,latent,latent_l1000,"0,1,2,3",,0,0.312425,4.0,0.026125131578616,0.914325,4.0,0.012039206784502,0.342025,4.0,0.02692463246422,0.34365,4.0,0.05209769668613,2.018,4.0,0.032832910318764,0.342675,4.0,0.0521508309297816,-0.18395,4.0,0.0027012342857787,0.023945,4.0,0.0010206697147788,0.356325,4.0,0.033897627743939,3.9675e-05,4.0,7.935e-05,summary_tables/sciplex3_cv/sciplex3_cv_max100_lpm_summary.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,"0,1,2,3",,0,0.308625,4.0,0.0247300593071131,0.91495,4.0,0.0081283454650992,0.367,4.0,0.0235889804781809,0.24065,4.0,0.0787755672781859,2.0244999999999997,4.0,0.0343365694267786,0.2326,4.0,0.0751108514130947,-0.18225,4.0,0.003749222141547,0.023595,4.0,0.0005387330817142,0.350375,4.0,0.0257423613265501,0.0,4.0,0.0,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_summary.csv
results/sciplex3_cv/max100,onehot,latent,latent_onehot,"0,1,2,3",,0,0.276625,4.0,0.0212722628478182,0.89395,4.0,0.0197120098755386,0.49775,4.0,0.0255596687511138,0.342825,4.0,0.0416882377495939,2.1100000000000003,4.0,0.0761533540517641,0.336825,4.0,0.0438143336515954,-0.184875,4.0,0.0037765725201563,0.023905,4.0,0.0016194752236449,0.4939,4.0,0.0368359425923467,0.0,4.0,0.0,summary_tables/sciplex3_cv/sciplex3_cv_max100_onehot_summary.csv
results/sciplex3_cv/max100,lpm,decoder,decoder_l1000,"0,1,2,3",,0,0.2426499999999999,4.0,0.0259493737882053,0.8963,4.0,0.0116123497478618,0.34995,4.0,0.0426527451246302,0.36945,4.0,0.059535171677477,2.1455,4.0,0.0264512129526541,0.369325,4.0,0.0611838418211867,-0.0646375,4.0,0.000959735206537,0.0263699999999999,4.0,0.0008632496741962,0.377625,4.0,0.0463804826049348,0.0,4.0,0.0,summary_tables/sciplex3_cv/sciplex3_cv_max100_lpm_summary.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,"0,1,2,3",,0,0.2425749999999999,4.0,0.0300705143509939,0.919475,4.0,0.0106690752488988,0.35065,4.0,0.032630200734902,0.3083,4.0,0.0738825193578742,2.0557499999999997,4.0,0.051370387059732,0.301925,4.0,0.0834863411982263,-0.0655925,4.0,0.0008802414441504,0.02411,4.0,0.0005159457335805,0.330875,4.0,0.0373941506120944,0.0,4.0,0.0,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_summary.csv
results/sciplex3_cv/max100,onehot,decoder,decoder_onehot,"0,1,2,3",,0,0.1775499999999999,4.0,0.0151755285465339,0.889925,4.0,0.0213790200897983,0.49575,4.0,0.0200533455230459,0.3478,4.0,0.0382161396969046,2.17475,4.0,0.0852540321627077,0.3281,4.0,0.0188276392572196,-0.042685,4.0,0.001326461458166,0.025175,4.0,0.0021055086479676,0.485525,4.0,0.0120284038841402,0.0,4.0,0.0,summary_tables/sciplex3_cv/sciplex3_cv_max100_onehot_summary.csv
results/sciplex3_cv/max100,lpm,cpa,cpa_l1000,"0,1,2,3",,0,0.29295,4.0,0.0288578700992756,0.914675,4.0,0.0093941027600653,0.39705,4.0,0.0334581828556184,0.379425,4.0,0.0640053318091547,2.027,4.0,0.023958297101422,0.375575,4.0,0.0683440499726689,-0.0017905,4.0,0.000666192414647,0.023255,4.0,0.0008139819817825,0.3903,4.0,0.0383498804865586,0.001885475,4.0,0.0012104328574935,summary_tables/sciplex3_cv/sciplex3_cv_max100_lpm_summary.csv
