input_folder,embedding,model,experiment,fold,metric,value,model_class,summary_path
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,rmse_average,0.1466,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,rmse_rank_average,0.4756,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,cosine_pca_average,0.5912,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,cosine_rank_pca_average,0.4224,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,cosine_logfc,0.07395,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,cosine_rank_logfc,0.4845,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,r2_score_scores,-0.05261,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,top_k_recall_scores,0.0001587,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,mmd_pca,3.588,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,0,mmd_rank_pca,0.4458,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,rmse_average,0.1255,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,rmse_rank_average,0.4919,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,cosine_pca_average,0.6036,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,cosine_rank_pca_average,0.4437,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,cosine_logfc,0.03962,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,cosine_rank_logfc,0.4582,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,r2_score_scores,-0.05018,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,mmd_pca,2.611,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,1,mmd_rank_pca,0.4715,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,rmse_average,0.1493,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,rmse_rank_average,0.4853,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,cosine_pca_average,0.5869,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,cosine_rank_pca_average,0.4717,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,cosine_logfc,0.03624,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,cosine_rank_logfc,0.4853,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,r2_score_scores,-0.05165,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,mmd_pca,3.251,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,2,mmd_rank_pca,0.4777,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,3,rmse_average,0.1415,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold3/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,3,rmse_rank_average,0.485,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold3/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,3,cosine_pca_average,0.6006,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold3/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,3,cosine_rank_pca_average,0.4175,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold3/evaluation/summary.csv
results/sciplex3_cv/max100,lpm,linear,linear_l1000,3,cosine_logfc,0.04384,LinearAdditive,results/sciplex3_cv/max100/linear_l1000/fold3/evaluation/summary.csv
