input_folder,embedding,model,experiment,fold,metric,value,model_class,summary_path
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,rmse_average,0.1665,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,rmse_rank_average,0.498,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,cosine_pca_average,0.5096,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,cosine_rank_pca_average,0.4283,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,cosine_logfc,-0.004146,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,cosine_rank_logfc,0.5057,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,r2_score_scores,-0.04545,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,mmd_pca,2.993,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,0,mmd_rank_pca,0.4241,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold0/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,rmse_average,0.1704,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,rmse_rank_average,0.4947,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,cosine_pca_average,0.4714,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,cosine_rank_pca_average,0.5012,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,cosine_logfc,0.005237,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,cosine_rank_logfc,0.5026,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,r2_score_scores,-0.04563,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,mmd_pca,3.302,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,1,mmd_rank_pca,0.4723,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold1/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,2,rmse_average,0.1682,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,2,rmse_rank_average,0.4718,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,2,cosine_pca_average,0.4884,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold2/evaluation/summary.csv
results/sciplex3_cv/max100,onehot,linear,linear_onehot,2,cosine_rank_pca_average,0.4167,LinearAdditive,results/sciplex3_cv/max100/linear_onehot/fold2/evaluation/summary.csv
